OrderID,OrderDate,Status,ClientName,ClientDescription,ClientMobile,BillingAddress,ShippingAddress,PaymentTerms,DeliveryTerms,DeliveryDate,Notes,RepCode,RepName,RepCompany,RepDept,RepArea,Remarks,TotalAmount,CartItems,CreatedBy,ReviewedBy,ReviewedDate,DiscountPercent,DiscountAmount,Subtotal,Printed,PrintedDate,PrintedTime,ApprovedByLevel1,ApprovedDateLevel1,ApprovedByLevel2,ApprovedDateLevel2,DisapprovedItems,ContactPerson1,ContactPerson1Mobile,ContactPerson2,ContactPerson2Mobile,ApprovedBySGF,ApprovedDateSGF,Attachments
ORD-20250101000000,2025-01-01 00:00:00,Unlocked for Edit,Sample Client,Sample client description,1234567890,123 Main St,456 Oak Ave,Net 30,FOB,2025-01-15,Sample notes,SR001,John Doe,Company A,Sales,North,Sample remarks,100.0,"[{'product_code': 'PRD001', 'product_name': 'Product A', 'qty': 2, 'price': 25.5}]",salesrep1,Admin,2026-01-06 08:39:17,,,,,,,,,,,[],,,,,,,
ORD-20260106092141,2026-01-06 09:21:41,Approved,Cli,ent,124345352341,"124-126 Dr. Lazcano Street, Diliman",Brgy. Laging Handa,COD,CIF,2026-01-06,,CLI001,Client Representative,Client Company,Sales,Central,,41.25,"[{'product_code': 'PRD001', 'product_name': 'Acetaminophen 500mg', 'qty': 1, 'price': 25.5, 'row_data': {'ProductCode': 'PRD001', 'ProductName': 'Acetaminophen 500mg', 'Description': 'High-quality pain relief medication', 'UnitPrice': 25.5, 'StockQuantity': 150, 'Category': 'Pharmaceuticals', 'Manufacturer': 'PharmaCorp'}}, {'product_code': 'PRD002', 'product_name': 'Aspirin 100mg', 'qty': 1, 'price': 15.75, 'row_data': {'ProductCode': 'PRD002', 'ProductName': 'Aspirin 100mg', 'Description': 'Standard aspirin tablets for pain and fever', 'UnitPrice': 15.75, 'StockQuantity': 300, 'Category': 'Pharmaceuticals', 'Manufacturer': 'MediTech'}}]",Client,Admin,2026-01-06 09:31:10,0.0,0.0,41.25,Yes,2026-01-19,09:36:09,,,,,[],,,,,,,
ORD-20260106104927,2026-01-06 10:49:27,Unlocked for Edit,Be,Be,124345352341,"124-126 Dr. Lazcano Street, Diliman","124-126 Dr. Lazcano Street, Diliman",COD,CIF,2026-01-06,,CLI001,Client Representative,Client Company,Sales,Central,,67.0,"[{'product_code': 'PRD018', 'product_name': 'Medical Gloves', 'qty': 1, 'price': 25.0, 'row_data': {'ProductCode': 'PRD018', 'ProductName': 'Medical Gloves', 'Description': 'Disposable latex-free gloves box', 'UnitPrice': 25.0, 'StockQuantity': 400, 'Category': 'Medical Supplies', 'Manufacturer': 'FirstAid Co'}}, {'product_code': 'PRD017', 'product_name': 'Omega-3 Capsules', 'qty': 1, 'price': 42.0, 'row_data': {'ProductCode': 'PRD017', 'ProductName': 'Omega-3 Capsules', 'Description': 'Fish oil omega-3 supplements', 'UnitPrice': 42.0, 'StockQuantity': 150, 'Category': 'Supplements', 'Manufacturer': 'NutriLife'}}]",Client,Admin,2026-01-06 10:56:27,0.0,0.0,67.0,,,,,,,,[],,,,,,,
ORD-20260106143528,2026-01-06 14:35:28,Approved,Dr Tonette Segismundo,uhui,124354567890,kjnkj,lkjkmnlkj,cod,fob,2026-01-06,,CLI001,Client Representative,Client Company,Sales,Central,,57.0,"[{'product_code': 'PRD008', 'product_name': 'Thermometer Digital', 'qty': 1, 'price': 35.0, 'row_data': {'ProductCode': 'PRD008', 'ProductName': 'Thermometer Digital', 'Description': 'Digital body thermometer', 'UnitPrice': 35.0, 'StockQuantity': 120, 'Category': 'Medical Equipment', 'Manufacturer': 'TechMed'}}, {'product_code': 'PRD009', 'product_name': 'Cough Syrup 100ml', 'qty': 1, 'price': 22.0, 'row_data': {'ProductCode': 'PRD009', 'ProductName': 'Cough Syrup 100ml', 'Description': 'Natural cough relief syrup', 'UnitPrice': 22.0, 'StockQuantity': 175, 'Category': 'Pharmaceuticals', 'Manufacturer': 'MediTech'}}]",Client,Admin,2026-01-06 14:36:00,0.0,0.0,57.0,,,,,,,,[],,,,,,,
ORD-20260106173446,2026-01-06 17:34:46,Pending,121,213123,123123124342,123123,123123,12312,123,2026-01-06,,CLI001,Client Representative,Client Company,Sales,Central,,44.5,"[{'product_code': 'PRD005', 'product_name': 'Multivitamin Daily', 'qty': 1, 'price': 32.0, 'row_data': {'ProductCode': 'PRD005', 'ProductName': 'Multivitamin Daily', 'Description': 'Complete daily multivitamin formula', 'UnitPrice': 32.0, 'StockQuantity': 180, 'Category': 'Supplements', 'Manufacturer': 'HealthPlus'}}, {'product_code': 'PRD006', 'product_name': 'Antibacterial Soap', 'qty': 1, 'price': 12.5, 'row_data': {'ProductCode': 'PRD006', 'ProductName': 'Antibacterial Soap', 'Description': 'Hand sanitizing soap 250ml', 'UnitPrice': 12.5, 'StockQuantity': 400, 'Category': 'Personal Care', 'Manufacturer': 'CleanCare'}}]",Client,,,0.0,0.0,44.5,,,,,,,,"[{'product_code': 'PRD006', 'product_name': 'Antibacterial Soap', 'qty': 1, 'price': 12.5, 'row_data': {'ProductCode': 'PRD006', 'ProductName': 'Antibacterial Soap', 'Description': 'Hand sanitizing soap 250ml', 'UnitPrice': 12.5, 'StockQuantity': 400, 'Category': 'Personal Care', 'Manufacturer': 'CleanCare'}, 'disapproval_reason': 'Sample Remove / Disapprove Item', 'disapproved_by': 'Admin1', 'disapproved_date': '2026-01-08 13:36:59', 'item_index': 1}]",,,,,,,
ORD-20260107182825,2026-01-07 18:28:25,Pending,asdasd,asdasd,asdaasd,asdasd,asdasd,asda,asdasd,2026-01-07,,CLI001,Client Representative,Client Company,Sales,Central,,70.5,"[{'product_code': 'PRD001', 'product_name': 'Acetaminophen 500mg', 'qty': 1, 'price': 25.5, 'notes_remarks': 'adfasd', 'row_data': {'ProductCode': 'PRD001', 'ProductName': 'Acetaminophen 500mg', 'Description': 'High-quality pain relief medication', 'UnitPrice': 25.5, 'StockQuantity': 150, 'Category': 'Pharmaceuticals', 'Manufacturer': 'PharmaCorp'}}, {'product_code': 'PRD003', 'product_name': 'Vitamin C 1000mg', 'qty': 1, 'price': 45.0, 'notes_remarks': 'aasdasda', 'row_data': {'ProductCode': 'PRD003', 'ProductName': 'Vitamin C 1000mg', 'Description': 'Premium vitamin C supplement', 'UnitPrice': 45.0, 'StockQuantity': 200, 'Category': 'Supplements', 'Manufacturer': 'NutriLife'}}]",Client,,,0.0,0.0,70.5,,,,,,,,[],,,,,,,
ORD-20260109145003,2026-01-09 14:50:03,Pending,A. DELA CRUZ MATERNITY HOSPITAL,780,046-4313185/0968-2908595,"910 Crescini St., Caridad, Brgy. 47B Pagkakaisa, Cavite City","910 Crescini St., Caridad, Brgy. 47B Pagkakaisa, Cavite City",30D,Delivery Instruction Sample,2026-01-09,,CLI001,Client Representative,Client Company,Sales,Central,,25.5,"[{'product_code': 'PRD001', 'product_name': 'Acetaminophen 500mg', 'qty': 1, 'price': 25.5, 'notes_remarks': 'Notes for Deals', 'row_data': {'ProductCode': 'PRD001', 'ProductName': 'Acetaminophen 500mg', 'Description': 'High-quality pain relief medication', 'UnitPrice': 25.5, 'StockQuantity': 150, 'Category': 'Pharmaceuticals', 'Manufacturer': 'PharmaCorp'}}]",Client,,,0.0,0.0,25.5,,,,,,,,[],Marianne Dela Cruz,,,,,,
ORD-20260109165516,2026-01-09 16:55:16,Pending,A. DELA CRUZ MATERNITY HOSPITAL,780,046-4313185/0968-2908595,"910 Crescini St., Caridad, Brgy. 47B Pagkakaisa, Cavite City","910 Crescini St., Caridad, Brgy. 47B Pagkakaisa, Cavite City",30D,123,2026-01-09,,CLI001,Client Representative,Client Company,Sales,Central,,87.75,"[{'product_code': 'PRD006', 'product_name': 'Antibacterial Soap', 'qty': 1, 'price': 12.5, 'notes_remarks': '11', 'row_data': {'ProductCode': 'PRD006', 'ProductName': 'Antibacterial Soap', 'Description': 'Hand sanitizing soap 250ml', 'UnitPrice': 12.5, 'StockQuantity': 400, 'Category': 'Personal Care', 'Manufacturer': 'CleanCare'}}, {'product_code': 'PRD005', 'product_name': 'Multivitamin Daily', 'qty': 1, 'price': 32.0, 'notes_remarks': '2', 'row_data': {'ProductCode': 'PRD005', 'ProductName': 'Multivitamin Daily', 'Description': 'Complete daily multivitamin formula', 'UnitPrice': 32.0, 'StockQuantity': 180, 'Category': 'Supplements', 'Manufacturer': 'HealthPlus'}}, {'product_code': 'PRD010', 'product_name': 'Zinc Supplements 50mg', 'qty': 1, 'price': 28.5, 'notes_remarks': '3', 'row_data': {'ProductCode': 'PRD010', 'ProductName': 'Zinc Supplements 50mg', 'Description': 'Immune support zinc tablets', 'UnitPrice': 28.5, 'StockQuantity': 220, 'Category': 'Supplements', 'Manufacturer': 'NutriLife'}}, {'product_code': 'PRD015', 'product_name': 'Antacid Tablets', 'qty': 1, 'price': 14.75, 'notes_remarks': '4', 'row_data': {'ProductCode': 'PRD015', 'ProductName': 'Antacid Tablets', 'Description': 'Fast-acting antacid relief', 'UnitPrice': 14.75, 'StockQuantity': 300, 'Category': 'Pharmaceuticals', 'Manufacturer': 'PharmaCorp'}}]",Client,,,0.0,0.0,87.75,,,,,,,,[],Marianne Dela Cruz,,,,,,
ORD-20260119092341,2026-01-19 09:23:41,Pending,SOUTH STAR DRUG,1364,0917-551-3517,"110 E. Rodriguez jr. Ave. Bagumbayan, Quezon City","110 E. Rodriguez jr. Ave. Bagumbayan, Quezon City",60D,Instructions Sample,2026-01-19,,CLI001,Client Representative,Client Company,Sales,Central,,3947.5,"[{'product_code': '10000133', 'product_name': 'Calazolv 50mg/160mg Cream 4.2g Sachetx2020.00s', 'qty': 2, 'price': 680.0, 'notes_remarks': '5+1', 'row_data': {'ProductCode': 10000133, 'ProductName': 'Calazolv 50mg/160mg Cream 4.2g Sachetx2020.00s', 'Description': nan, 'UnitPrice': '680.00', 'StockQuantity': 999, 'Category': nan, 'Manufacturer': nan}}, {'product_code': '10000037', 'product_name': ""MERGOT 125mcg FCT 100's100.00s"", 'qty': 1, 'price': 2100.0, 'notes_remarks': '10+5', 'row_data': {'ProductCode': 10000037, 'ProductName': ""MERGOT 125mcg FCT 100's100.00s"", 'Description': nan, 'UnitPrice': '2,100.00', 'StockQuantity': 999, 'Category': nan, 'Manufacturer': nan}}, {'product_code': '10000021', 'product_name': ""*DOPAMET 250mg FCT 40's40.00s"", 'qty': 1, 'price': 487.5, 'notes_remarks': '', 'row_data': {'ProductCode': 10000021, 'ProductName': ""*DOPAMET 250mg FCT 40's40.00s"", 'Description': nan, 'UnitPrice': '487.50', 'StockQuantity': 999, 'Category': nan, 'Manufacturer': nan}}]",Client,,,0.0,0.0,3947.5,,,,,,,,[],Czar Ianne Idor,,,,,,
ORD-20260128132437,2026-01-28 13:24:37,Pending,GRACIANO UMANA,1279,0932-3751022,"Commercial Complex , Poblacion, San Ildelfonso, Bulacan","Commercial Complex , Poblacion, San Ildelfonso, Bulacan",30D,N/A,2026-01-28,N/A,1,Ashley Delos Santos,Solvang Pharmaceuticals Inc,Rose Ann Paningbatan ,Bulacan,Deals +15,3900.0,"[{'product_code': '10000083', 'product_name': ""Mupicort 20mg/g (2% w/w) ointment 5gx1's1.00s"", 'qty': 15, 'price': 260.0, 'notes_remarks': '', 'row_data': {'ProductCode': 10000083, 'ProductName': ""Mupicort 20mg/g (2% w/w) ointment 5gx1's1.00s"", 'Description': nan, 'UnitPrice': '260.00', 'StockQuantity': 999, 'Category': nan, 'Manufacturer': nan}}]",Solvang-Bulacan,,,0.0,0.0,3900.0,,,,,,,,[],Graciano Umana,N/A,N/A,N/A,,,
