ProductCode,ProductName,Description,UnitPrice,StockQuantity,Category,Manufacturer
10000126,AZI 200mg/5mL Powder for Susp x 22.5mL1.00s,,350.00,999,,
10000082,APCELAC 500MG CAPSULE x 100's1.00s,,850.00,999,,
10000133,Calazolv 50mg/160mg Cream 4.2g Sachetx2020.00s,,680.00,999,,
10000099,Cixtor-Z MAX 500mg/10mg 1000IU Capx100's100.00s,,"1,092.00",999,,
10000021,*DOPAMET 250mg FCT 40's40.00s,,487.50,999,,
10000025,FOLACID 5mg Cap 100's100.00s,,800.00,999,,
10000026,HEMOCLOT 500mg Cap 100's100.00s,,"2,900.00",999,,
10000037,MERGOT 125mcg FCT 100's100.00s,,"2,100.00",999,,
10000083,Mupicort 20mg/g (2% w/w) ointment 5gx1's1.00s,,260.00,999,,
10000108,Prehexa Softgel Capsule x 30's30.00s,,510.00,999,,
10000052,RUCEF 250mg/5ml GFS 50mL1.00s,,385.00,999,,
10000084,RUCEF 500mg FCT 40's40.00s,,"2,110.00",999,,
10000055,SOLAZE 250mg/5ml PFS 60mL1.00s,,220.50,999,,
10000056,SOLAZE 500mg Cap 100's100.00s,,"1,450.00",999,,
10000062,SOLVAPRINE 10mg Tab 40's40.00s,,450.00,999,,
10000072,TRIZEF 50mg/ml GFS 60mL1.00s,,300.00,999,,
10000035,LOFENIN 250mg/5ml Susp 60mL1.00s,,91.50,999,,
10000038,MERGOT 200mcg/ml Amp Soln for Inj 10's10.00s,,"2,180.00",999,,
10000054,SOLAZE 125mg/5ml PFS 60mL1.00s,,110.00,999,,
